carrera,escuela,telefono,enlace,direccion,enlace2,pagina_Web
Diseño,IP DE CHILE,(+56)227224800,"https://www.google.cl/maps/place/-33.45215,-70.66767","Av. República 285, Santiago, Región Metropolitana",http://www.ipchile.cl/carreras/diseno,Sitio Web
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,(+56)22331 1000,"https://www.google.cl/maps/place/-33.48942,-70.51666","Diagonal Las Torres 2640, Peñalolén, Región Metropolitana",http://www.uai.cl/carreras/diseno,Sitio Web
Diseño,UNIVERSIDAD CATÓLICA,(+56)223545534,"https://www.google.cl/maps/place/-33.41962,-70.61858","El Comendador 1916, Providencia, Región Metropolitana",http://diseno.uc.cl/,Sitio Web
Diseño,UNIVERSIDAD DE TALCA,(+56)800710071,"https://www.google.cl/maps/place/-35.42555, -71.6451","2 Nte. 685, Talca, VII Región",http://admision.utalca.cl/carreras/diseno.html,Sitio Web
Diseño,UNIVERSIDAD DEL DESARROLLO,(+56)223279110,"https://www.google.cl/maps/place/-33.39155, -70.50164","La Plaza Nte 700, Peñalolén, Región Metropolitana",http://diseno.udd.cl/,Sitio Web
Diseño,UNIVERSIDAD DEL DESARROLLO,(+56)412268610,"https://www.google.cl/maps/place/-36.82152, -73.03703","Ainavillo 456, Concepción, Región del Bío Bío",http://diseno.udd.cl/carrera/diseno/equipo/concepcion/,Sitio Web
Diseño,UNIVERSIDAD DIEGO PORTALES,(+56)22676 2000,"https://www.google.cl/maps/place/-33.45089, -70.66756","Av. República 180, Santiago, Región Metropolitana",http://diseno.udp.cl/,Sitio Web
Diseño,UNIVERSIDAD FINIS TERRAE,(+56)2242 07390,"https://www.google.cl/maps/place/-33.42572, -70.61175","Av. Pedro de Valdivia 1224, Providencia, Región Metropolitana",http://fad.uft.cl/escuela-de-diseno,Sitio Web
Diseño (NN),UACH,(+56)632221500,"https://www.google.cl/maps/place/-39.81546, -73.24737","Independencia 641, Valdivia, Región de los Ríos",https://www.uach.cl/,Sitio Web
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,(+56)224144564,"https://www.google.cl/maps/place/-33.4321, -70.60613","Av. Ricardo Lyon 1177, Providencia, Región Metropolitana",http://www.ugm.cl/dcm/carrera/perfil/,Sitio Web
Diseño de Ambiente,IP DUOC UC,(+56)22999 3862,"https://www.google.cl/maps/place/-33.44891, -70.67008","España 8, Santiago, Región Metropolitana",http://www.duoc.cl/carrera/diseno-de-ambientes,Sitio Web
Diseño de Ambiente,IP DUOC UC,(+56)229993862,"https://www.google.cl/maps/place/-33.40001, -70.50533","Camino El Alba 12881, Las Condes, Región Metropolitana",http://www.duoc.cl/carrera/diseno-de-ambientes,Sitio Web
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",(+56)226406151,"https://www.google.cl/maps/place/-33.44427, -70.62298","Av. Salvador 1200, Providencia, Región Metropolitana",http://www.uniacc.cl/diseno-grafico-diurno/,Sitio Web
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,(+56)228625315,"https://www.google.cl/maps/place/-33.37808, -70.52764","Av. Las Condes 11121, Las Condes, Región Metropolitana",http://web.upacifico.cl/noticias/categoria/carreras/diseno-de-interiores/,Sitio Web
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,(+56)226618681,"https://www.google.cl/maps/place/-33.43161, -70.63713","Fernández Concha 700, Las Condes, Región Metropolitana",https://campuscreativo.cl/carreras/diseno-de-juegos-digitales/,Sitio Web
Diseño de Moda,IP INACAP,800202520,"https://www.google.cl/maps/place/-29.906, -71.252","Francisco de Aguirre 389, La Serena, Región de Coquimbo",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,Sitio Web
Diseño de Moda,IP INACAP,800202520,"https://www.google.cl/maps/place/-33.40829, -70.55348","Apoquindo Ote. 7282, Las Condes, Región Metropolitana",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,Sitio Web
Diseño de Moda,IP INACAP,800202520,"https://www.google.cl/maps/place/-38.72541, -72.63015","Luis Durand 2150, Temuco, IX Región",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,Sitio Web
Diseño de Vestuario,IP DUOC UC,(+56)229993862,"https://www.google.cl/maps/place/-33.40001, -70.50533","Camino El Alba 12881, Las Condes, Región Metropolitana",http://www.duoc.cl/carrera/diseno-de-vestuario,Sitio Web
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,6004501500,"https://www.google.cl/maps/place/-33.43321, -70.62455","Triana 820, Providencia, Región Metropolitana",http://admision.aiep.cl/carreras-tecnicas/tecnico-en-diseno-de-vestuario/,Sitio Web
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,800228622,"https://www.google.cl/maps/place/-33.37808, -70.52764","Av. Las Condes 11121, Las Condes, Región Metropolitana",http://www.unab.cl/admision/carreras/diseno-vestuario-textil/,Sitio Web
"Diseño de Vesturaio, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,(+56)226980449,"https://www.google.cl/maps/place/-33.43696, -70.65849","Santo Domingo 1083, Santiago, Región Metropolitana",http://www.paulinadiard.cl/,Sitio Web
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,(+56)227877500,"https://www.google.cl/maps/place/-33.44852, -70.65789","Dieciocho 161, Santiago, Región Metropolitana",http://repositorio.utem.cl/handle/30081993/113,Sitio Web
Diseño Gráfico,IP AIEP,6005855050,"https://www.google.cl/maps/place/-33.04508, -71.6199","Yungay 1582, San Felipe, Región de Valparaíso",http://www.aiep.cl/carrera/diseno-grafico/43/,Sitio Web
Diseño Gráfico,IP AIEP,6005855050,"https://www.google.cl/maps/place/-33.44855, -70.66711","Av. Ejército Libertador 49, Santiago, Región Metropolitana",http://www.aiep.cl/carrera/diseno-grafico/43/,Sitio Web
Diseño Gráfico,IP AIEP,6005855050,"https://www.google.cl/maps/place/-33.43321, -70.62455","Triana 820, Providencia, Región Metropolitana",http://www.aiep.cl/carrera/diseno-grafico/43/,Sitio Web
Diseño Gráfico,IP AIEP,6005855050,"https://www.google.cl/maps/place/-34.16992, -70.73573","Cuevas 70, Rancagua, VI Región",http://www.aiep.cl/carrera/diseno-grafico/43/,Sitio Web
Diseño Gráfico,IP AIEP,6005855050,"https://www.google.cl/maps/place/-36.82841, -73.05495","Barros Arana 302, Concepción, Región del Bío Bío",http://www.aiep.cl/carrera/diseno-grafico/43/,Sitio Web
Diseño Gráfico,IP DUOC UC,(+56)229993862,"https://www.google.cl/maps/place/-33.03382, -71.53262","Álvarez 2330, Viña del Mar, Región de Valparaíso",http://www.duoc.cl/carrera/diseno-grafico,Sitio Web
Diseño Gráfico,IP DUOC UC,(+56)229993862,"https://www.google.cl/maps/place/-33.40001, -70.50533","Camino El Alba 12881, Las Condes, Región Metropolitana",http://www.duoc.cl/carrera/diseno-grafico,Sitio Web
